1,GXchangfen,488.45,  0.00,2.6,6.6, 1046,   19
2,Tw0stzzs,381.43,  0.00,2.9,3.8,  653,    5
3,Kay-_-l_cN,374.59, 40.08,2.9,3.3,  571,    6
4,PRECIPITAT_A_Bin,366.05,266.05,2.4,3.3,  475,    3
5,87191104,355.79,255.79,1.8,3.9,  422,    8
6,askuhdiakbs,338.27, 13.60,1.9,5.3,  611,    9
7,oAmeimnTB,320.38,  0.00,2.0,2.4,  281,   59
8,LastCricus,312.74,  0.00,1.3,3.8,  283,   27
9,ChenXuan2233,298.86, 13.52,1.7,2.8,  280,   12
10,Rumblingxx,286.31,186.31,2.4,2.0,  295,    0
11,Aimercccc,283.82,162.15,1.6,2.9,  283,   11
12,-VsaikouV-,282.06, 53.20,1.8,2.9,  315,    3
13,LiYunglongDepao,277.04,  0.00,2.1,6.3,  782,    2
14,komorebibahndai,272.59,172.59,1.2,2.3,  167,   70
15,Kita0v0,260.53,  0.00,2.4,2.0,  287,   16
16,BiGe_BiliBili,259.50, 99.69,1.6,2.5,  234,   13
17,yxyx269700,244.70,144.70,2.5,1.8,  268,   12
18,TankNemesis,241.85, 51.18,1.1,6.4,  438,   22
19,gege20101122,236.45, 60.45,1.1,3.4,  219,   19
20,suxiao7,235.24,  0.00,1.5,3.1,  279,   21
21,sanomiamii,230.65,  0.00,1.8,1.7,  183,    6
22,QYQ_QH,229.28,  0.00,1.2,2.3,  164,   19
23,JoaoFelix_1ovo,225.92, 58.98,1.3,4.5,  352,    6
24,sunning2222,222.55, 10.34,1.1,2.9,  184,    6
25,weijing49,214.27, 23.81,1.4,1.5,  132,   44
26,what126334,213.96,113.96,1.4,1.4,  120,    4
27,66635QWE,213.46,113.46,2.3,1.3,  180,    1
28,RaMeaRz2,212.54,  0.00,1.6,1.6,  150,    7
29,OrpHan1010,208.01,108.01,1.3,3.3,  260,    2
30,zeroyu458,207.27,  0.00,0.9,4.1,  216,  120
31,henedbs,206.53, 60.79,2.1,1.1,  143,    0
32,caigou442,206.46,  0.00,1.1,1.8,  121,   23
33,Sc_Wining,205.66,105.66,1.7,1.7,  165,    2
34,520830,204.22,  0.00,1.7,1.9,  196,    8
35,101ikun101,203.88,103.88,1.4,1.6,  129,    3
36,oggiman4936,201.79,  0.00,1.8,1.9,  208,    2
37,HaiDan-OvO,201.33,  0.00,2.2,0.9,  113,    7
38,RTXBOX,199.80, 41.50,0.7,4.2,  163,    2
39,Right3483,199.63, 99.63,0.5,2.4,   74,    3
40,Evadonia,195.06,  0.00,1.7,1.3,  135,    0
41,1402979223,194.74, 94.74,1.3,1.5,  122,   18
42,BUQIYANDEwaJIAO,193.26,  0.00,2.0,0.8,   92,    3
43,Dengzn,193.20,  0.00,1.7,1.5,  151,   14
44,pengpeng_011,192.85,  0.00,1.5,1.7,  153,    8
45,11suffer,191.50, 74.78,1.3,1.0,   78,    4
46,DePinkVN,191.31, 91.31,1.0,1.5,   93,   18
47,Zxyabao,190.49,  0.00,1.3,1.2,   95,   26
48,QIShiBuZaiLian,190.45, 90.45,1.6,1.3,  125,    2
49,FR-J-RIVER,188.66, 88.66,0.6,3.0,  114,   53
50,992209361,188.46, 88.46,0.8,2.6,  127,    6
51,502098397,188.38, 88.38,1.3,1.0,   76,   17
52,TrueLovePinkIkun,187.78, 40.39,1.6,1.8,  180,    9
53,whypc12138,185.64, 85.64,1.0,1.3,   82,   31
54,jwlbwk,185.59,  0.00,1.4,1.5,  123,    7
55,2579322286,185.02,  0.00,1.6,0.9,   88,    3
56,suCTpp,184.66,  0.00,2.2,1.1,  145,    5
