1,A-LiuCheNGJiN,914.88,  0.00,3.1,36.6, 6862,  253
2,Jeenyuhssss,868.00,  0.00,3.0,58.6,10390,   78
3,Me0wsuk1_-,829.42,  0.00,3.5,21.9, 4551,   61
4,WI1lYouWa1tForme,816.24, 12.35,2.4,40.0, 5826,  669
5,Jun_nnnun,804.90,  0.00,2.9,31.8, 5591,  105
6,ScarletWithYou,800.42, 15.72,2.9,52.1, 9158,  669
7,laoyao-x,790.96,  0.00,3.0,19.9, 3595,  407
8,dddemt,784.49,  0.00,2.9,28.1, 4927,  488
9,XueCun-QianHuiL1,779.45,  5.49,2.2,93.2,12532,  602
10,Flusha_Himself,776.53,  0.00,3.7,15.1, 3316,  106
11,Bulesss,770.63, -0.85,2.0,70.1, 8447,  642
12,cunkuan17kuai,768.22,  0.00,3.3,16.8, 3315,   83
13,0Lao-Wang,759.91, 14.30,2.7,17.9, 2921,   65
14,xXchaochao,751.43,  0.00,2.5,36.7, 5425,  145
15,DouYin_YL666,750.32, 54.12,2.4,20.9, 3066,  160
16,-DesMoineZ_-,739.02,  0.00,3.8,12.6, 2870,   53
17,Perovskites,738.92,  0.00,2.5,25.6, 3783,  182
18,SiuNancy7,738.70,  0.00,3.1,19.2, 3595,  213
19,JacksoN_Leeeee,730.54,  0.00,2.2,39.1, 5257,  228
20,AAAAAAKail-,724.01, 20.39,2.9,15.8, 2775,  121
21,LuckyStay0,721.02,  0.00,3.6,13.5, 2947,  262
22,DouYin-YLGFPS,715.63,  0.00,3.6,15.5, 3293,  144
23,MaybeMiko,710.97,  0.00,2.6,17.8, 2737,  529
24,ZuiJ1an,709.22,  0.00,2.5,20.3, 3006,  473
25,-VASKIHECAIJUAN-,706.65, 75.02,1.9,34.2, 3962,  862
26,LibertyBe1l,703.62,  0.00,2.7,18.6, 3004,  502
27,B1Eup,701.44,  0.00,2.5,22.4, 3305,  156
28,Ka-52,699.46,  0.00,2.4,23.1, 3305,   60
29,BuYaoFaDaiLe,699.38,  0.00,2.3,52.0, 7289,  407
30,Lum1ne5cence,694.86,  0.00,1.9,46.4, 5310,  277
31,niuniu231,694.82,  0.00,2.3,27.9, 3788,  173
32,Yukinoks,692.03,  0.00,1.3,15.2, 1161, 2146
33,Minimarszpw,689.30,  0.00,2.5,20.2, 3008,  265
34,ThankyouAnywayyy,683.87,  0.00,2.3,22.1, 3070,  316
35,Liou0_o,683.86,  0.00,2.8,19.8, 3367,  171
36,TunyRamYee,680.30,  0.00,2.1,36.3, 4629,  362
37,gogocjh,678.38,  0.00,2.0,54.2, 6430, 1875
38,HalfDemon0,672.48,  0.00,2.3,26.6, 3608,  308
39,Adriard_OvO,669.65,  0.00,1.6,24.2, 2289, 1247
40,yjr749,669.07, 50.75,2.2,17.1, 2301,   86
41,Aimeilio,668.69, -3.42,2.0,24.2, 2838,  221
42,001-TIETOUWA,665.53,  0.00,1.9,44.2, 5035,  433
43,MateTea_Aires,665.13, 53.96,1.9,21.7, 2524,  211
44,somber-chips,663.90,  0.00,2.1,37.4, 4687,  480
45,A-LiuCheNGL0nG,662.56,  0.00,2.6,21.4, 3403,  334
46,Nan_Shan_Wind,659.17,  0.00,2.0,31.6, 3819,  235
47,1900king0_o,657.56,  0.00,1.9,78.4, 9003,  528
48,ImGenshinAce,645.50,  0.00,2.3,23.7, 3318,  121
49,lm_emu_ottori,641.75,  0.00,1.7,80.3, 8333, 1381
50,tugou-jack,641.68,-27.25,1.3,40.6, 3166, 2382
51,BKxianglajtuibao,641.59, 29.45,2.0,22.1, 2630,  144
52,antard,639.24,  7.51,1.6,95.2, 9016,  187
53,WhiteMistGlac1er,633.39,  0.00,1.8,31.4, 3403,  128
54,z7ilsj50k3er,632.26,  0.00,1.7,83.2, 8514, 1224
55,slwoszya,629.61,  0.00,1.9,38.7, 4368,  647
56,XKLiaR_,627.70,  0.00,4.2,9.7, 2431,  188
57,BiliBili21961346,625.06,  0.00,2.8,17.0, 2861,  128
58,Vmountains,624.98,  0.00,2.4,15.2, 2150,   81
59,Cooky_Yummy,624.15, 15.95,1.8,50.0, 5404, 1529
60,ShynessJay,623.95, 28.29,1.9,31.5, 3583,  537
61,-Close319,623.08, 18.00,1.8,70.9, 7588,  295
62,LiuMengYiNB,621.61,  0.00,2.3,14.5, 2021,  299
63,ChaiN_structioN,617.09, 70.42,3.3,9.2, 1792,   55
64,MuZiiYouYovo,606.88,  2.04,1.7,81.5, 8530,  379
65,LyuA_En,604.17,  0.00,1.4,34.6, 2922,  200
66,WishmeIuck,603.27,  0.00,2.2,9.9, 1319,   44
67,Deprivator687,602.75,  2.82,1.3,85.9, 6793, 1869
68,Wanna_Selfish,601.67,  0.00,1.9,45.6, 5265, 1441
69,RC390,597.19,  3.73,3.2,9.1, 1759,   56
70,_9GZIB,595.50,  0.00,2.8,10.8, 1839,  124
71,Wen_X1n_Zhu,595.41, 37.92,1.6,42.0, 3982,  651
72,ZiZaiJiYiGong,592.34, 10.71,1.8,18.2, 1973,   84
73,udonNoodless,590.20,  0.00,2.4,16.8, 2457,   79
74,BlbIi3224358,589.37,  0.00,1.0,17.9, 1024, 1517
75,-MYGO-Satori,588.13,  0.00,3.0,7.6, 1351,  178
76,-Onmywaaaay-,586.25, -0.71,2.3,18.4, 2501,  221
77,-DeFlamed_,585.76,  0.00,1.8,15.7, 1737,  356
78,Nananaaaami,585.46,  0.00,2.3,11.0, 1499,   33
79,Definding,585.43,  0.00,1.8,19.5, 2102,   93
80,Ghosts1752,583.69,  0.00,2.0,23.7, 2840,  109
81,AmbitiousGirl,583.47,  0.00,1.4,30.9, 2619,  231
82,778WuYe,581.26,  0.00,2.3,12.9, 1768,  106
83,scpkdlf,580.77,  0.00,1.9,31.5, 3650,  283
84,Guesable,579.46,  0.00,2.1,15.4, 1958,   66
85,FastLetMeSeeSee,579.09,  0.00,1.9,14.7, 1709,  191
86,notexcuse,577.79,  0.00,2.4,10.5, 1504,   92
87,Vot_Feng,575.60,  0.00,1.9,33.4, 3798,  126
88,A_huiya-0218,574.91, 10.46,1.4,26.6, 2222,  320
89,ID_Meerkat,570.56,  0.00,1.6,29.2, 2805,  755
90,Small_Astain,569.66,  0.00,2.6,14.1, 2233,   80
91,indulgere,568.27,  0.00,2.7,9.2, 1467,   57
92,facewow,568.04,  0.00,1.6,60.0, 5803,  147
93,QingxiuPei,567.26,  0.00,1.8,15.7, 1676,  587
94,BackToSummer,564.24,  0.00,1.4,39.2, 3369,  427
95,-iR7oT-,562.69,  0.00,3.3,8.0, 1600,   46
96,CccchenXia,556.53,  0.00,2.0,16.9, 2007,  327
97,Gilgamesh_CB19,551.93, 10.58,1.5,51.5, 4605,  541
98,2002thinking,551.53,  0.00,2.3,14.6, 1999,   90
99,Im-Fathomer-Best,550.72,  0.00,1.3,42.1, 3287, 1194
100,nzk0079-Liuying,547.46, -0.13,1.8,34.7, 3782,  314
101,xiaomeng2568,545.74,  0.00,1.5,38.5, 3451,  537
102,MoonIsFullCharge,545.66,  0.00,1.9,14.3, 1610,  242
103,-A1mingRookie-,545.60,  0.00,2.3,10.8, 1458,  102
104,Gottweintnicht,544.52,  0.00,1.8,18.9, 1998,  170
105,95272420,540.87, 35.34,1.2,32.4, 2244,  727
106,03300302,539.49,  0.00,1.4,16.0, 1352,  499
107,wfYgL,538.77,  0.00,1.3,31.7, 2400, 1493
108,PRECIPITAT_A_Bin,538.75, 33.25,2.4,11.2, 1586,   95
109,Fan_Chen_Yu_Ji,538.35,  0.00,1.7,21.2, 2111,  225
110,EmTrNnN,538.13,  0.00,1.0,12.5,  716, 1019
111,Wangchaoha1yu,537.87,  0.00,1.7,27.7, 2786,  340
112,YL-YLin,536.72,  0.00,2.0,20.6, 2507,  181
113,gentlemanW,536.57,  0.00,2.6,11.4, 1802,  140
114,KareruSakura,534.42,  0.00,2.9,7.0, 1242,   53
115,wyqcosmos,533.74,  0.00,1.4,75.7, 6369,  303
116,red0tea,531.18,  0.00,2.8,8.2, 1368,   82
117,BlackMaaong,528.15,  0.00,2.2,13.6, 1797,   97
118,Miyaguri_Akari,526.86,  0.00,4.0,6.1, 1480,   28
119,-Warmbraaww-,526.25,  0.00,2.1,18.7, 2321,   94
120,torororot,524.65,  0.00,1.8,34.4, 3721,   67
121,Natsumi_Miyuki,524.45,  0.00,2.0,12.0, 1422,  286
122,SNOWYMING,523.71, 28.95,2.3,13.5, 1880,  118
123,XxStarsoulxX,521.82,  0.00,3.6,6.1, 1295,   31
124,XING-ZHI-KOBE,521.43, 54.71,1.7,26.3, 2747,  287
125,Kuriyamasa_,521.10,  0.00,1.5,155.9,13895, 1328
126,linda666OVO,520.95,  0.00,2.7,8.9, 1454,  148
127,RPG_200403,520.32,  0.00,2.8,10.1, 1704,   21
128,SeptemberLeaves1,516.62,  5.35,1.7,39.7, 4156,  666
129,Brodontfire,516.01,  0.00,1.3,34.6, 2653,  808
130,-ShyyyyyyyV-_,515.77,  0.00,3.1,7.7, 1455,   62
131,S547ean,515.76,  0.00,2.3,9.5, 1337,  126
132,ElderlywoR-,515.55,  0.00,1.8,14.9, 1585,   65
133,boluoOwQ,514.79,  0.00,2.7,8.6, 1396,  124
134,Greenp1ayer,513.51,  0.00,3.8,6.0, 1363,   37
135,Msstr1y,509.38,  0.00,1.7,16.4, 1721,  439
136,Y-Maoerduo,507.65,  0.00,1.4,45.2, 3712,  683
137,Glorious-Yuan7,506.37,  0.00,2.0,10.1, 1235,  129
138,han7856he,504.86, 37.36,0.8,48.0, 2182, 1841
139,508n8cjzywtm,504.50,  0.00,2.5,9.2, 1361,  166
140,_FL0wer_77,501.97, 49.92,2.3,11.1, 1519,   65
141,-D1oNiysus-,500.84,  0.00,2.4,6.6,  948,   18
142,iwillfixyou,500.76,  0.00,1.4,66.7, 5488,  280
143,sharkzz1,500.22,  4.15,2.4,11.5, 1629,   32
144,290546c,497.70,  0.00,1.3,16.8, 1286,  766
145,joMalkelun,495.91,  0.00,1.6,37.3, 3486,  223
146,a162727,494.95, 36.85,1.1,26.2, 1742,  502
147,1amsotired,494.39,  0.00,1.9,13.1, 1472,  110
148,Re1CARNaTI0N,494.36,  0.00,2.2,13.2, 1766,  185
149,B0_1uo_bao,493.74,  0.00,2.0,9.8, 1157,  103
150,-FLC-sooty,493.18, 13.14,1.7,16.8, 1694,  492
151,Teresa_yami,491.87,  0.00,1.6,20.6, 2022,  650
152,-DUDE-IN-DUSK,490.23,  0.00,2.0,12.6, 1540,  185
153,Sonseed,489.42,  0.00,1.2,96.1, 6944, 1044
154,Alex1107,488.86,  0.00,1.6,13.3, 1238,  259
155,Ycsgj,487.14,  5.27,2.6,9.7, 1486,  139
156,RainFly_zip,486.94,  0.00,2.3,9.6, 1334,   96
157,Go2DaMoon-77,486.00, 34.28,1.9,11.5, 1276,  190
158,Thanmeban,485.35,  0.00,1.2,21.7, 1569,  507
159,MapleDreamed,482.80,  0.00,1.3,19.1, 1442,  746
160,R4bbitman,482.38,  0.00,2.7,6.6, 1078,   64
161,aaaaark255,480.10,  0.00,1.5,22.8, 2059,    9
162,Givemeaflower,478.24,  0.00,2.1,11.3, 1441,   53
163,YiiCHensaMA,477.58,  0.00,2.5,8.7, 1278,   47
164,-Maaidy,477.50, 14.03,1.1,55.3, 3666,  106
165,nnxdw,476.93,  0.00,1.4,11.4,  990,  390
166,WG_1067444156,473.88, 12.64,1.2,76.9, 5403, 1507
167,NOnext_raid,473.50,  0.00,1.9,10.9, 1271,   69
168,Yuan_Yyyyyye,471.16,  0.00,1.5,24.1, 2141,  304
169,asdaasd567,470.53,  0.00,2.2,10.2, 1334,   25
170,Arianna_Heartbe1,469.58,  0.00,1.5,24.9, 2309,  540
171,zihangTnT,469.05,  0.00,1.9,11.3, 1279,  117
172,0206OVO,467.18,  0.98,2.0,13.8, 1675,   95
173,SuoLJJdiNewNew,466.90,  0.00,1.5,23.7, 2204,   93
174,123456w0,466.73,  4.57,1.1,25.1, 1722,  632
175,OLyingzi,464.98,  0.00,2.5,7.7, 1175,   43
176,Vortex23333,463.63,  0.00,1.9,11.9, 1331,   40
177,GLemon76,461.65,  0.00,1.2,51.0, 3802,  332
178,WAXMwaxm,460.89, 57.26,3.0,5.1,  928,   38
179,KOAAAAAAAAA,460.50,  0.00,2.4,8.5, 1201,   54
180,Stay4OrMe_,459.47,  0.00,1.5,11.2,  998,  290
181,ANHZCG,458.76,  0.00,3.2,4.6,  879,   35
182,c_naldooo,456.76,  0.00,1.3,18.8, 1483,  288
183,xj851452,455.33, -2.78,0.9,107.7, 5705,  801
184,SprIngAwakenIng,454.11,  6.28,1.1,61.7, 4153,  287
185,MIHAYOUNO1,452.16,  0.00,1.6,18.3, 1704,  169
186,Hzh36,452.15, 48.40,1.8,7.3,  768,  149
187,IRN-Yukikaze,451.65,  0.00,1.5,15.7, 1410,  185
188,LK_Yellow,450.82,  0.00,1.7,12.7, 1312,  228
189,Che_Guevara1965C,450.70, -0.20,2.2,9.0, 1180,   26
190,Sixteen66,450.68,  0.00,1.2,31.2, 2233,  314
191,wheelchair3,449.95,  0.00,1.8,8.8,  967,  169
192,3usi9c,449.80,  0.00,4.3,4.8, 1249,   79
193,countme,449.18,  2.88,1.0,30.1, 1886,  387
194,envy1uv,447.81,  0.00,2.7,6.4, 1033,   77
195,NEWPACKOHYEAH,447.18,  0.00,1.9,6.5,  758,   12
196,mahoushaojiukyy,445.71,  0.00,2.9,6.0, 1040,   93
197,miss-u-hate-u,445.38,  7.91,1.0,47.6, 2761,  575
