1,Bili-LordShaxx,780.03,  0.00,3.9,19.8, 4618,  219
2,AcaciaInLotus,761.57,  7.38,3.3,25.0, 4909,  142
3,HopeShredder,710.28,  0.00,3.0,19.2, 3468,  410
4,Otah_123,679.29,  0.00,2.8,21.6, 3669,  313
5,hunting-C,654.12,  0.00,2.4,36.9, 5358,  373
6,v_BAYONET_v,652.81,  0.00,2.6,23.0, 3523,  125
7,Waitzstorm,637.17,  0.00,2.4,28.3, 4002,  108
8,BlackMirrorPL,632.98,  0.00,3.3,11.2, 2237,  195
9,v_EyeShield_v,625.28,  0.00,2.9,15.2, 2659,   46
10,S3ncho,598.93, 17.65,2.2,19.2, 2570,  351
11,s4kutarou,597.03,  0.00,2.8,11.7, 1974,   38
12,N0thingT0say0,578.26, 19.42,2.2,24.3, 3247,   58
13,-DUDE-IN-DUSK,559.59,  0.00,2.5,18.1, 2712,  121
14,Z1nYoRiTa,558.80,  0.00,3.3,9.6, 1885,   24
15,c4fesuk1,554.30,  0.00,2.6,11.1, 1731,   32
16,ggweag,550.65,  0.00,2.6,16.3, 2513,   90
17,Miyaguri_Akari,546.14,  0.00,4.4,8.0, 2122,   68
18,DeepLock9,545.83,  0.00,4.0,8.4, 2015,   56
19,ZiZaiJiYiGong,543.19,  0.00,2.8,10.5, 1758,   68
20,zelme,531.58,  0.00,2.0,22.1, 2673,   72
21,Aeiyxq,528.24,  0.00,2.0,40.6, 4776,   65
22,Bulesss,513.51,  0.00,2.6,8.3, 1288,   39
23,J1N_011,504.89,  0.00,1.7,22.2, 2238,  580
24,-Ken1VeDyFPS-_1,493.63,  0.18,3.0,8.6, 1574,   49
25,Shymoli,491.92,  0.00,3.0,7.8, 1385,   77
26,-Analysis-0131,491.58,  0.00,2.1,14.3, 1791,  180
27,2321ow0,487.09,  0.00,3.6,6.6, 1431,   15
28,B1Eup,485.66,  0.00,3.1,8.2, 1536,   57
29,lamp_olll,478.47,  0.00,1.7,16.3, 1686,  513
30,Gewehr_3Bar3,466.22,  0.00,3.1,7.6, 1387,   22
31,chachachatako,465.30,  0.00,1.9,12.9, 1452,  350
32,gongxifacaizzz,460.80,  0.00,3.1,7.2, 1345,    6
33,torabli,456.35,  0.11,2.3,9.6, 1354,  106
34,Raditra,449.07,  0.00,2.0,9.2, 1085,   89
35,yanyansi_7474,443.79,  0.00,1.5,13.5, 1256,  142
36,Ac3ro1a,442.36,  0.00,1.7,11.3, 1131,  169
37,Eye_JOker,441.91,  0.00,2.0,13.4, 1638,  138
38,Hatsune3iku9,435.61,  0.00,3.4,5.8, 1165,   60
39,yukibyakuya,434.17,  0.00,1.5,12.2, 1096,   34
40,NOLIMIT_R1,433.49,  0.00,2.1,8.0, 1010,   90
41,Hakumokuren890,431.39,  0.00,1.6,16.2, 1533,  378
42,hidden-fangs,424.52,  0.00,2.2,10.0, 1309,   34
43,GGlove80,422.06,  0.00,3.7,4.8, 1077,   34
44,2pm-bing,420.67,  0.00,1.2,26.7, 2003,  371
45,WaterOfMuelsyse,417.61,  0.00,3.0,6.2, 1108,   44
46,JW9871X,416.82,  0.00,3.0,5.9, 1063,   41
47,A-Emaj7-Cm9-Fm7,415.00,  0.00,4.3,4.8, 1251,   20
