1,BiliBili11731881,1032.18,  4.97,3.4,89.6,18291,  718
2,1-AE86-1,743.78,  0.00,0.2,45.4,  421, 7665
3,mor1en,725.56, -0.30,2.8,20.3, 3369,  221
4,BILIBILI26987323,701.20,  0.00,2.6,22.6, 3561,   78
5,gentlemanW,694.54,  0.00,2.4,78.4,11255,  331
6,KoNoM4M4,684.88,  0.00,2.5,27.4, 4113,  138
7,A-LiuCheNGJiN,681.85,  1.42,2.9,19.6, 3396,  126
8,BABYNICE1,672.26, 12.89,2.0,36.7, 4314,  226
9,SayLoveMikasa,660.08,  6.48,2.2,20.3, 2649,   98
10,uniformRod,641.02,  0.00,2.8,19.8, 3360,   95
11,ZiZaiJiYiGong,640.77,  0.00,2.6,31.6, 4850,  112
12,GodYuanzZ,627.79,  0.00,2.5,17.8, 2674,  158
13,CrocodileFigure,621.43, 13.92,1.9,43.4, 5052,  250
14,AAAAAAKail-,616.28,  0.00,2.4,15.9, 2310,   73
15,BiliBili24430930,614.95,  0.00,2.6,13.9, 2205,  146
16,FliegerFaust225,610.41,  0.00,2.0,98.9,11909,  246
17,China1goat,589.27,  0.00,2.2,20.7, 2768,  330
18,AboutMande,582.84,  0.00,2.2,21.9, 2945,   99
19,zhanchege77A,574.19,  0.35,2.2,24.1, 3171,  192
20,DuckZzy,555.69,  0.00,2.0,29.1, 3449,   83
21,-SunGoooukong-,550.82,  8.47,1.7,29.7, 2972,  425
22,indulgere,548.12,  0.00,2.7,12.3, 1993,   69
23,GreyHound1sT,546.82,  0.00,2.5,24.3, 3601,  101
24,q413465507,542.49,  0.00,2.3,10.8, 1494,   63
25,HQG8,537.64,  0.00,1.8,34.7, 3730,   98
26,TohsakaRin1161,535.74,  0.00,1.7,12.2, 1272,  316
27,Sniper_Gushun,529.66,  0.00,2.2,16.5, 2132,  306
28,MountainRabbit9,526.07,  0.00,1.6,25.9, 2556,  163
29,BiIiBiIi-7519337,523.58,  0.00,2.3,12.4, 1733,  154
30,LionWhite117,513.78,  0.00,1.9,16.4, 1823,   36
31,Lm_Solitary,513.59, 18.70,2.4,12.2, 1757,   56
32,fuurita,512.27,  0.00,1.7,30.0, 3067,  325
33,piaopiao3,511.59,  0.00,1.9,24.0, 2720,  193
34,Pineberry,504.21,  8.59,2.0,22.6, 2766,   98
35,-PistolV-,503.76,  0.00,1.5,40.7, 3628,  542
36,XXXXXXXXXXXf,501.01,  0.00,2.0,22.6, 2684,  232
37,AndyandLave,499.05,  0.75,1.8,19.8, 2086,   97
38,Mom1ngvvv,496.50,  0.00,1.7,36.0, 3602,  326
39,LzoyoiYui,485.10,  0.00,2.6,8.4, 1324,  146
40,shushu15632,476.44,  0.00,2.5,8.5, 1284,   39
41,killmedarlin,475.39, 36.40,1.5,14.9, 1342,   95
42,Ko7yosh,473.31,  0.00,2.9,7.1, 1243,   45
43,TuanQueMao,471.48, 27.65,1.2,15.6, 1103,  693
44,Lonely-pao,471.02,  0.00,1.6,68.3, 6568,  692
45,Nananaaaami,470.08,  0.00,2.5,8.6, 1312,   20
46,B1Eup,469.32,  0.00,1.8,12.8, 1380,   89
47,NaritaDaijin,467.81,  0.00,1.5,13.8, 1218,   36
48,Blood-reigns,463.81,  0.00,1.5,12.7, 1133,  162
49,FastLetMeSeeSee,458.80,  0.00,2.0,11.3, 1331,   71
50,Aqiiiiiiiiiiiii,458.17,  0.00,2.6,6.4, 1004,   33
51,TheeCurseMyName,456.09,  0.00,2.5,11.5, 1723,   73
52,Tademizang,455.62,  0.00,3.2,6.3, 1194,   12
53,_Escape_Romeo_ll,454.82,  2.29,1.7,12.5, 1301,  145
54,1amsotired,454.07,  0.00,1.8,13.9, 1518,   80
55,jiangxiu123,453.97,  0.00,1.9,13.7, 1596,   91
56,AzGoodYzzzzzz,450.00,  0.00,1.4,26.4, 2165,   46
57,CrazyOneTap_p,449.68,  0.00,1.5,23.4, 2137,  378
58,Ranni_Moon,445.19,  0.00,2.1,10.5, 1298,   64
59,JacobSoHot,441.08,  0.00,0.4,11.5,  284, 1376
60,DY-gangpao,440.54, 36.09,2.2,8.6, 1149,   31
61,casual_pll,437.04, 12.75,1.3,16.4, 1270,  125
62,-DesMoineZ_-,436.06,  0.00,2.8,8.4, 1434,   10
63,BlacksPrayMan,435.07,  0.00,1.5,20.7, 1862,  142
64,ITioxxssss,431.63, -1.07,1.4,14.9, 1290,  203
65,HK416_Little-umi,429.45,  0.00,2.5,6.8, 1022,   40
66,Jzz1,428.11,  0.00,2.4,7.5, 1092,   30
67,Fulingaaa,426.99,  0.00,1.8,10.2, 1098,  100
68,zhoudanny,411.34,  0.00,1.4,16.6, 1380,  242
69,fivezhang,410.78,  0.00,1.7,9.9,  985,  352
70,BruceLRL,410.62, 15.60,1.6,9.6,  945,   49
71,cxkdlqydynb,410.62, 18.93,1.6,9.9,  971,  338
72,iGo_Hxs_kyert,409.51,  0.00,1.5,13.0, 1204,   20
73,Yousleepsleep,409.13,  0.00,1.6,11.9, 1124,   42
74,taotaoohh,409.01, -1.01,1.3,20.7, 1603,   68
75,Years-of-dreams,406.84,  9.77,1.9,14.4, 1639,   87
76,GeorgeShJ7,406.42,  0.00,1.2,38.0, 2640,  196
77,AiHeX1Cha,406.36, 15.69,1.8,11.8, 1277,   84
78,Jametibiriuskirk,406.25,  0.00,2.7,5.6,  896,   44
79,Lachryml,405.15,  0.00,2.0,7.6,  909,   23
80,biwang2020,404.83,  0.00,1.9,10.6, 1226,   17
81,PYZPYZPYZPYZ,402.09,  0.00,1.0,28.5, 1765,  329
82,BigOldKing,400.49,  0.00,1.5,7.0,  626,  263
83,loveISabuse,398.54,  0.00,1.1,27.8, 1792,  295
84,SugerFreeSprite,397.25,  0.00,1.1,19.0, 1300,  264
85,Uknowrukicute,395.33,  0.00,1.4,20.0, 1635,  166
86,xiaotuzi1221,394.15,  0.00,1.4,10.8,  899,  127
87,Bomura_can,393.97,  0.00,3.1,4.6,  852,   43
88,CN-alick0078,389.77, 14.35,1.0,29.6, 1716,  565
89,-AnahitaV-,389.40,  1.15,1.0,26.6, 1631,  482
90,Daxing3998,386.62,  0.00,1.3,10.8,  872,  275
91,BiLI-YunQu,386.13,  0.00,1.1,31.8, 2172,  160
92,RuanmianMdeZiDaN,385.67,  0.00,1.9,7.5,  828,   23
93,SuperJiaXin-Baby,384.92,  0.00,2.0,6.5,  789,   22
94,SerMaxLK,380.47,  0.00,1.4,12.8, 1061,  103
95,KFC_Fox,380.16,  0.00,1.7,10.3, 1055,  103
96,Huatangtangya,380.11,  0.00,1.2,16.1, 1169,  555
97,YZH179,380.05,113.50,1.6,6.6,  646,   42
98,CT-ChibaTakumi,378.59,  0.00,1.8,6.5,  697,  195
99,Hatsune3iku9,378.02, 60.50,3.4,4.5,  929,   15
100,TUGUOTV,377.89,  0.00,2.7,5.2,  847,   35
101,BieHuiTou-itsM,376.46,  0.00,1.9,6.6,  765,   24
102,springbreez,369.87,  3.97,1.3,18.3, 1430,   89
103,URGODPAPA,369.58,  0.00,1.4,11.7,  956,   45
104,JOJO_YouGurt,368.61,  0.00,1.4,10.9,  949,  117
105,Zhanghan789,365.68,  0.00,2.3,5.7,  799,   57
106,Ulla-Zaccheus,364.23, 12.57,1.2,18.5, 1318,  105
107,SeKiro1207,364.08,  0.00,0.8,10.4,  523,  600
108,SHY_HH9527,363.77,  0.00,1.1,12.5,  839,  182
109,xiao_HongM9,360.66,  0.00,2.0,6.2,  743,   86
110,YURISA140,359.34,  0.00,0.9,31.4, 1681,  317
111,hanhuaxuezang,356.51,  0.00,1.6,9.3,  913,  165
112,ElderlywoR-,354.91,  0.00,1.3,12.2,  931,   30
113,STG44MyLove,346.28,  0.00,1.2,21.4, 1486,  237
114,FujlwaraSakuya,344.95,  0.00,2.2,3.6,  465,   13
115,BiliBili22812055,344.16,  0.00,3.7,3.4,  742,   13
116,A-LiuCheNGL0nG,342.72,  0.00,2.2,6.1,  822,   21
117,Likelog,340.75,  0.00,1.4,9.3,  802,  121
118,lxw1111123,339.16,  0.00,0.9,38.3, 1983,  167
119,King-Dingzhen,338.13, 21.79,2.1,5.6,  724,   62
120,HalloXiaotao,337.91,  0.00,1.4,8.8,  754,   66
121,bytuizi,337.79,  0.75,1.8,6.8,  730,   56
122,-L1ghtDeath-,337.06,  0.00,1.5,10.9,  998,   25
123,-Ssschnappiii-,336.44,  0.00,1.4,7.0,  600,   86
124,BreaktheSilenceE,334.66,  0.00,1.5,8.5,  757,   74
125,HrbZzy,334.21,  0.00,1.6,9.0,  836,   54
126,Bili_23159769,333.80,  0.00,1.6,5.9,  577,   63
127,Little-Noob-1,332.71,  0.00,2.4,3.9,  571,    6
128,_9GZIB,332.20, 58.02,1.8,4.2,  462,   32
129,9tk1,331.48,  0.00,2.1,5.4,  699,   37
130,detachmentllk,330.05,  0.00,1.2,13.1,  928,   88
131,IuHgNahCniL,329.14,  0.00,1.6,7.6,  753,   66
132,GoldTulips,327.60,  0.00,2.0,4.0,  490,  111
133,-ike1v3-,326.94,  0.00,1.0,10.5,  625,  136
134,JulioBombC,325.12,  0.69,0.9,26.4, 1504,  149
135,LVMFF,324.28,  0.00,1.2,15.8, 1157,   42
136,inwl_neo,321.96,  0.00,1.1,13.1,  887,   73
137,tong1laotan,321.88,  0.00,1.1,15.5, 1055,   64
138,Co1or_Ar,321.55,  0.00,1.2,19.5, 1403,   40
139,Bruno_DaJIanG,321.52,  0.00,2.5,4.4,  649,   27
140,wdadsddddd,320.66,  9.16,1.2,12.0,  850,   88
141,Northy-Sakura,320.59,  1.64,0.8,23.3, 1107,  296
142,mhbbt_666,320.27,  0.00,1.9,4.3,  495,   41
143,WarcriminalsV,318.04,  0.00,1.6,7.8,  737,   20
144,PLA_Moon,318.01,  0.00,1.9,6.5,  732,   63
145,Cuendillar349,317.70, 11.52,1.4,10.3,  835,  116
146,Rel-Mayerrr,315.64,  0.00,2.1,4.4,  571,   16
147,RAW_huntsman,314.67,  0.00,2.2,4.7,  628,   33
148,20210523Q,313.52,  0.00,1.3,6.6,  537,  154
149,GuLixiao,313.38,  0.00,1.5,6.1,  550,   74
150,-SamaranchV-,313.25,  0.00,3.1,2.9,  540,   19
151,PossessiveH,312.81,  0.00,1.4,7.4,  600,   98
152,1225790815,312.11,  5.85,1.1,11.6,  783,  159
153,Hongzhuzhu1,311.17,  0.00,3.0,3.1,  552,   29
154,G36_Ch13f_M41d,310.59,  0.00,1.6,6.4,  612,   59
155,KaiLuShouJieSi,309.11,  0.00,2.5,3.1,  463,   27
156,OpsoRyan,308.67,  0.00,1.6,5.6,  550,   27
157,jackeylov333333,308.06,  0.00,1.1,13.8,  900,  141
158,laoyao-x,307.55,  0.00,2.9,2.7,  475,   26
159,long78971,307.09,  0.00,2.9,3.1,  553,   49
160,g90918,306.97,  5.62,1.4,7.8,  632,   56
161,ganfeiJapanese,306.43,  2.78,0.9,20.7, 1115,  176
162,Augustzzzz1,306.28, 28.74,1.9,3.7,  428,  156
163,MakeMeBetter,304.97, 35.76,2.3,3.3,  459,   35
164,MateTea_Aires,304.83,  0.00,1.3,5.8,  448,   76
165,yismo90,304.10, 52.89,1.2,7.4,  522,  150
166,LitangWangDJ1,303.88,  0.00,1.1,10.3,  683,  186
167,ikun-shuzhihenga,301.93,  0.00,1.4,6.4,  530,  113
168,QvQslimming,301.14,  0.00,1.2,11.0,  800,   63
169,yujingBB,300.33,  0.00,1.1,10.7,  690,  102
170,TureWhisper,300.00,  0.00,1.1,6.5,  434,   48
171,AiChiHuiMian,299.86, 22.98,2.1,4.1,  522,   10
172,FriedChickeNPC,299.52,  0.00,1.9,4.7,  543,   11
173,Lardkilf,299.33,  0.00,0.6,37.7, 1468,  103
174,RT395,298.79,  0.00,1.2,8.3,  617,  235
175,CreamStick666,298.63,  0.00,1.4,5.9,  484,   96
176,DouYin_Kaix1nn,298.36,  0.00,2.1,4.0,  501,   55
177,Asacos,297.47,  0.64,0.9,16.9,  868,  290
178,yexuanji,297.03,  0.00,1.0,10.5,  605,   31
179,myqt8,296.70,  0.00,0.8,13.6,  648,  370
180,DuoLuoLuoo,295.15,  0.00,1.2,9.4,  682,   32
181,Wangchaoha1yu,294.84,  0.00,1.3,7.0,  562,   24
182,TiaMOJieTiDaFA,294.72,  0.00,1.0,13.3,  788,  148
183,alymye-,294.42,  0.00,1.2,8.8,  631,   28
184,Madniuniu,294.27,  0.00,2.5,4.2,  632,   18
185,bil24159082PaFei,291.77, 19.42,1.5,8.2,  745,   45
186,SinoharaAkari,290.02,  8.80,1.6,5.4,  531,   18
187,kingliam123,289.99,  0.00,1.2,5.2,  372,   47
188,ZhanglangEba010,289.79,  0.00,2.0,3.3,  399,   11
189,bilibili_chenhan,289.75,  0.00,2.1,3.1,  393,   25
190,HeartLoveee,289.64,  0.00,3.1,3.0,  547,    6
191,DellMaoooooooo,289.59,  0.00,2.1,4.8,  607,   38
192,Master-Vinci-1,289.34, 17.77,2.2,4.3,  565,   22
193,JCOvOhh,288.91, 19.77,1.1,8.4,  537,   53
