1    :  A-LiuCheNGJiN       , 积分： 897.52  (单日浮动：-16.73), 赛季kpm: 3.0, 游玩时长(小时): 48.6
2    :  -DesMoineZ_-        , 积分： 872.42  (单日浮动： 23.77), 赛季kpm: 3.1, 游玩时长(小时): 34.9
3    :  Sushi77778          , 积分： 771.23  (单日浮动： -3.19), 赛季kpm: 2.8, 游玩时长(小时): 16.9
4    :  xXchaochao          , 积分： 759.09  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 47.8
5    :  yjr749              , 积分： 757.99  (单日浮动：  0.00), 赛季kpm: 1.9, 游玩时长(小时): 63.5
6    :  Ko7yoshI            , 积分： 738.39  (单日浮动： 14.52), 赛季kpm: 3.1, 游玩时长(小时): 15.7
7    :  TaoZi1HenC          , 积分： 735.37  (单日浮动： -8.76), 赛季kpm: 2.4, 游玩时长(小时): 25.0
8    :  TatSuMiiiii         , 积分： 733.54  (单日浮动：  1.23), 赛季kpm: 2.5, 游玩时长(小时): 23.8
9    :  HappyValleyKing     , 积分： 731.81  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 21.1
10   :  983_Happy           , 积分： 731.71  (单日浮动：  0.00), 赛季kpm: 3.8, 游玩时长(小时): 12.8
11   :  Greenp1ayer         , 积分： 714.71  (单日浮动： 13.79), 赛季kpm: 2.8, 游玩时长(小时): 18.3
12   :  indulgere           , 积分： 712.47  (单日浮动：  0.00), 赛季kpm: 2.6, 游玩时长(小时): 20.7
13   :  -KHaZix474-         , 积分： 683.91  (单日浮动： -4.51), 赛季kpm: 2.8, 游玩时长(小时): 18.0
14   :  BestYyFollowMe-F    , 积分： 680.27  (单日浮动：  0.00), 赛季kpm: 2.2, 游玩时长(小时): 24.9
15   :  Fantasticman        , 积分： 679.04  (单日浮动：  0.00), 赛季kpm: 2.8, 游玩时长(小时): 16.2
16   :  TaffyFPS            , 积分： 664.93  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 15.3
17   :  -EasyOnMe-          , 积分： 657.26  (单日浮动：  0.00), 赛季kpm: 2.9, 游玩时长(小时): 12.8
18   :  im4penguin          , 积分： 653.39  (单日浮动：  0.00), 赛季kpm: 3.3, 游玩时长(小时): 10.5
19   :  uiyiuhuhyu          , 积分： 651.33  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 14.8
20   :  KohanaLamCr4zy      , 积分： 647.02  (单日浮动：  0.00), 赛季kpm: 2.8, 游玩时长(小时): 12.8
21   :  Jack-huluwa         , 积分： 643.73  (单日浮动：  0.00), 赛季kpm: 0.7, 游玩时长(小时): 60.0
22   :  N0bodyloveIs        , 积分： 639.87  (单日浮动：  0.00), 赛季kpm: 2.4, 游玩时长(小时): 28.1
23   :  RC390               , 积分： 634.19  (单日浮动：  0.00), 赛季kpm: 3.0, 游玩时长(小时): 14.2
24   :  Breakthrough-v-     , 积分： 632.69  (单日浮动：-21.02), 赛季kpm: 2.0, 游玩时长(小时): 59.7
25   :  zhong1bai           , 积分： 632.47  (单日浮动：  9.99), 赛季kpm: 2.1, 游玩时长(小时): 37.7
