1,-DesMoineZ_-,913.91, 41.48,3.2,37.8, 7203,  240
2,A-LiuCheNGJiN,897.70,  0.19,3.0,49.0, 8695,  268
3,Sushi77778,771.23,  0.00,2.8,16.9, 2876,   24
4,xXchaochao,759.09,  0.00,2.4,47.8, 6911,  136
5,yjr749,753.25, -4.74,1.9,64.4, 7339,  405
6,Greenp1ayer,750.95, 36.23,2.9,20.1, 3546,  107
7,Ko7yoshI,745.57,  7.18,3.2,16.1, 3035,  118
8,HappyValleyKing,731.81,  0.00,2.6,21.1, 3298,  230
9,983_Happy,731.71,  0.00,3.8,12.8, 2918,   81
10,TatSuMiiiii,728.90, -4.64,2.4,24.9, 3622,  244
11,TaoZi1HenC,726.10, -9.27,2.4,26.6, 3757,   44
12,indulgere,712.47,  0.00,2.6,20.7, 3278,   98
13,-KHaZix474-,688.15,  4.24,2.8,18.9, 3128,  102
14,BestYyFollowMe-F,680.27,  0.00,2.2,24.9, 3241,  377
15,Fantasticman,679.04,  0.00,2.8,16.2, 2773,   50
16,DouYin_YL666,665.91, 38.56,2.4,20.5, 2911,  162
17,TaffyFPS,664.93,  0.00,3.0,15.3, 2721,  285
18,-EasyOnMe-,657.26,  0.00,2.9,12.8, 2246,   66
19,Jack-huluwa,655.91, 12.18,0.7,61.2, 2569, 6708
20,im4penguin,653.39,  0.00,3.3,10.5, 2050,   71
21,KohanaLamCr4zy,647.02,  0.00,2.8,12.8, 2135,  284
22,_9GZIB,642.89, 19.37,2.2,20.5, 2699,  183
23,N0bodyloveIs,639.87,  0.00,2.4,28.1, 4099,  346
24,Breakthrough-v-,637.49,  4.80,2.0,60.4, 7222,  430
25,-RampAnt1oNg-,637.26,  5.42,1.7,43.0, 4457,  134
26,RC390,634.19,  0.00,3.0,14.2, 2554,  107
27,-bluebluebluish-,632.45,  2.43,2.1,29.1, 3681,  758
28,zhong1bai,630.05, -2.42,2.1,38.1, 4759,  373
29,FiveMusketee1s,628.57, 24.54,2.3,17.1, 2361,   93
30,2ciyuan-wutong,627.19,  0.00,2.1,37.9, 4853,  608
31,2002zqy,626.13,  0.00,2.3,14.5, 2029,   98
32,memoria-1XUDFJJ,622.64,  6.65,2.6,13.1, 2016,   91
33,EN-ADMIRE,621.94,  0.16,1.2,37.9, 2618, 2222
34,QiuDaoYuOvO,621.26,  0.00,2.2,23.2, 3009,  410
35,S7arryGlitter,619.05,  0.00,2.2,15.4, 1994,  296
36,31RySev7N,617.81,  0.00,2.2,13.8, 1825,   58
37,WaiShenlilinghua,614.53,  0.00,2.4,17.5, 2565,   75
38,DouYin_7Years,611.58,  0.00,2.0,23.5, 2859,   99
39,MegurineLuki,611.49, 38.74,1.8,13.7, 1521,  173
40,DragonBaII,603.94,  0.00,1.7,20.7, 2061,  359
41,Minimarszpw,600.34,  6.89,2.3,18.4, 2545,  140
42,GetAway_ovo,594.29, 32.92,2.2,15.8, 2070,  260
43,sof1azzz,591.95,  0.00,2.9,10.7, 1868,  105
44,GermanCharge,591.16,  0.00,2.4,17.6, 2487,  127
45,windoilrefinwOw,588.84,  5.50,2.0,22.9, 2716,  108
46,Let1tfot,587.68,  0.00,2.5,17.8, 2697,   39
47,By-Lumine,586.98, 14.68,2.2,12.4, 1645,   40
48,r1osGG,586.82,  0.00,3.1,8.9, 1659,   79
49,MuRaSaMeee-L,581.56,  0.00,3.1,8.5, 1560,   52
50,e5-2696v3,579.78,  4.65,2.4,15.6, 2217,   57
51,BoRder_aRt-UnclE,577.89,  5.64,2.1,22.4, 2803,   72
52,ShuTiao1906,576.75,-12.84,1.5,72.0, 6586,  842
53,Marvelouszika,576.15,  6.82,1.9,30.0, 3509,  175
54,Zomb1eFPS,572.74,  0.00,2.7,16.0, 2551,  231
55,zk-m1928a1,565.22,  7.51,1.9,22.2, 2517,  152
56,S547ean,564.39,  3.83,2.4,10.7, 1548,   79
57,1tsGreektome,560.24,  0.00,2.2,11.3, 1472,  103
58,OP_Killer_Cold,558.54, 14.83,1.9,37.0, 4298,  469
59,ANHZCG,556.08,  0.00,2.7,8.6, 1394,   80
60,LrensFps,555.45,  0.00,3.3,8.7, 1707,   33
61,Aginsster,552.86,  0.00,2.5,7.9, 1165,   30
62,MyAimYabe,551.50,  0.00,2.2,11.4, 1506,   64
63,AGHOXB,548.18,  0.00,2.9,9.3, 1615,    6
64,-EnnnNNNtuitui,547.27,  0.00,1.9,20.4, 2334,  192
65,-Acquistion-,542.05,  0.00,3.3,7.9, 1534,   73
66,zhen-can-nian,541.58, 36.45,2.2,13.7, 1784,  198
67,Drown1nLoss,536.98,  5.38,2.0,14.7, 1758,  387
68,Kleshas-SR,534.90,  0.00,4.0,6.5, 1558,   82
69,RUNnnn1,531.94, 42.41,3.0,8.4, 1506,   33
70,ClayMorePlayer,531.44,  0.00,2.3,13.5, 1830,  110
71,Lum1ne5cence,530.93,  0.00,1.6,76.1, 7161,  496
72,alllive1024,528.14,  5.12,1.7,48.4, 5038,  493
73,danteaman,526.85,  0.00,2.4,10.3, 1476,  155
74,YouAreMyTianTian,526.65,  0.00,2.3,10.1, 1381,   44
75,AreYouGenshinPRO,521.73, 28.74,1.8,15.3, 1629,  255
76,FPS_illions,518.36,  0.00,1.8,10.0, 1075,  122
77,Xianyu_King_OVO,517.35,  0.00,2.0,11.6, 1384,  109
78,KNG-kyy,516.35,  0.00,2.2,9.0, 1188,  273
79,dingxiong990301,511.40,  0.00,3.4,5.7, 1163,   48
80,YukoYoshida_o,508.81,  0.00,3.5,5.7, 1203,   49
81,ZzZPaperZzZ,508.39,  0.00,2.7,8.3, 1367,   63
82,Tro1kas,507.22, 15.64,2.3,8.6, 1189,  224
83,-BestHeCaiJuan-,504.70,  0.00,1.7,68.9, 6876, 1005
84,Liquidnitr0,503.38,  0.00,2.7,7.8, 1253,  176
85,Deserve2bAlone,502.59,  0.00,3.7,6.3, 1406,   40
86,BePromiseOfLove,502.45, 43.97,2.9,6.2, 1070,   72
87,J0ngleuR,501.84, 24.03,1.9,11.9, 1329,  246
88,-Lagrang3-F,499.85,  0.00,2.1,10.0, 1288,  266
89,uniformRod,495.41,  0.00,2.7,8.4, 1348,   79
90,BackToSummer,494.84,  0.00,1.4,34.4, 2850,  292
91,WAKANAQAQ,494.09, 47.18,0.9,33.9, 1764,  769
92,NEWPACKOHYEAH,492.57,  0.00,1.9,11.6, 1343,  137
93,Nostaigla,487.67,  0.00,2.1,11.2, 1382,  149
94,Shuai_B_otto,486.08,  5.57,1.7,44.0, 4480,  537
95,PakoKuusta,483.85,  0.00,3.9,5.3, 1249,   85
96,kurukuru-kururln,482.80,  0.00,2.7,6.6, 1089,  126
